,Content,Labels
0,with an estimated one in four people in ireland experiencing hay fever this spring and summer is likely to be absolute miserygeorge sandhu deputy superintendent pharmacist at well pharmacy says hay fever symptoms including blocked noses watery eyes and itchy throats are triggered by three types of pollen which affects people at various times throughout the yearsome people are allergic to a single type of pollen while others are unfortunate enough to suffer from symptoms caused by all three tree grass and weedwarmer temperatures occurring earlier in the year are expected to worsen the common condition leading to an earlier release of pollen and other allergens into the air pollen is usually at its highest from march to septemberwhat are the best treatments to alleviate hay fever symptomshay fever can be treated with tablets nasal sprays or eye drops for complete relief experts say to use eye and nasal sprays alongside tabletssandhu says hay fever symptoms cause absolute misery for people but the good news is that there are plenty of things that you can do to reduce their impact on your lifeantiallergy medicine known as antihistamines is often seen by experts as the most popular form of treatment for hay fevercarolina goncalves superintendent pharmacist at pharmica says fexofenadine can help treat a runny nose sneezing itchy and watery eyes or an itchy nose or throat it is a nondrowsy antihistamine that works by blocking histamine a substance in the body that causes allergic symptomsother antihistamines worth considering that have a similar effect include cetirizine and loratadinesandhu adds since last year allergy products containing fexofenadine hydrochloride such as histallay are available without a prescriptionpreviously these medications were only available with a prescription from your doctor the benefits can be felt within one hour and last for 24 hours without any drowsinessnasal sprays are another form of treatment that will help alleviate runny noses and sneezingcorticosteroid nasal sprays can help reduce nasal inflammation and clear up the nasal passages preventing sneezing and a runny nose goncalves saysindividuals looking for a noncorticosteroid option to treat blocked noses may also wish to consider saline nasal sprays to help increase the moisture content within the nasal cavity thinning out the mucus and making it easier to expelgoncalves recommends considering eye drops containing sodium cromoglicate as an effective treatment this ingredient is known to prevent mast cells in the eyes from releasing histamine and other substances that trigger allergiesimmunotherapy is considered to be another effective treatment for hay fever it involves identifying the specific tree grass or weed pollen that triggers the allergic reaction and gradually introducing increasing doses of the allergen into the body over a prolonged periodthis process helps the body to develop immunity to the allergen thus reducing or even eliminating the symptoms of hay feverhow can you best prevent hay feverexperts recommend hepa highefficiency particulate air filters which can greatly reduce the presence of pollen and other allergens in indoor airgoncalves says these filters are capable of trapping microscopic particles including pollen grains and preventing them from circulating and settling within the home environmentaccording to numerous studies hepa filters can remove 999 of aerosolised respiratory particles that are between 300 nanometres and 100 micrometres in size this includes pollen which can be up to 200 micrometres in sizeintegrating hepa filters into air purification systems and vacuum cleaners can effectively remove these allergens from the indoor air providing relief for individuals prone to hay fever symptomsit is recommended to keep windows and doors closed during pollen season to prevent pollen from entering your home which reduces exposure and symptomsroutine showers and changing into fresh clothes are advised by experts as during high pollen seasons pollen grains can stick to clothing hair and even skin when spending time outdoorsthis measure helps to remove any pollen particles that may have accumulated ensuring that they are not transferred to indoor spaces where they could contribute to increased allergen exposureapplying a small amount of petroleum jelly like vaseline around the nostrils can serve as a barrier to trap pollen before it enters the nasal passagesthis method can decrease pollen exposure and subsequent allergic reactions,Lifestyle
1,"with holidays becoming more of a luxury its important to ensure that you have all bases covered  including making the flight experience as smooth and comfortable as possibleso what are the best travel hacks to ensure you have the best holiday experience we asked travel experts and frequent flyers to share everything their top hacksavoid heavy greasy mealsjenna wright a cabin crew member has a solution for avoiding postflight bloat
bloating is one of the most annoying things about flights  especially when travelling longhaul wright saysthe combination of reduced air pressure dehydration and sitting for long periods of time slows down your digestion and leads to a buildup of gas in your digestive tract this is why you often feel bloated gassy and nauseated while flyingfor travellers who are trying to minimise postflight bloat i would suggest avoiding eating anything heavy spicy or greasy before you fly instead try to stick to foods that are easier to digestfollow the 24hour rule to rehydrate

abby dunn marketing manager at ocean florida who has made the ninehour flight to florida 42 times also shares her top tip for dealing with bloating and flighttriggered digestive discomfortthe best thing you can do to minimise bloating and ensure comfort is to hydrate yourself  not only before your flight but also once you make it to your hotel or holiday villa too says dunntry to follow the 24hour rule  upping your water intake for 24 hours before and after your flight to prevent dehydration and water retentionthis will help keep dehydration headaches and dry skin at bay tooskip the aeroplane food
if you are especially prone to bloating and feeling the effects of dehydration you might also want to skip the inflight meal and bring your own foodyou lose your taste buds in the air so they fill the food with salt and oil to try and give it some flavour  which is extremely bloating wright addsuse technology to your advantagefor lee dobson cofounder of travel city noisecancelling headphones are a travel musthavethey create a personal oasis of calm even in the noisiest of cabins or help me focus if im trying to finish a report on the flight he saysalongside that i always ensure my ipad is loaded with shows movies and playlists to keep me entertained the power bank is just as important theres nothing worse than gearing up to watch a film or listen to a podcast only to find my battery is flatthis combination of tech essentials has levelled up my inflight experience making long hauls feel like a breeze and ensuring i arrive at my destination relaxed and ready to explorebring an extension chordsasha kalonji who regularly travels for work as a global public health project officer says her personal favourite is remembering to pack an extension chordyoull only need one adapter but youll have multiple outlets to charge your electrical devices and you can use your hair styling tools at the same time says kalonjipack three days worth of clothes

you never know what can happen once youve arrived at your destination so its important to be prepared and think ahead if youre going on a long holiday if luggage goes missing you dont want to be stuck unable to enjoy the first few days until its locatedalways pack at least three days worth of clothes in your hand luggage even if you dont have a connecting flight and especially if you have an important event to go to like a wedding says kalonjiluggage often gets held up for security checks or other reasonsuse a vpnsafety should always be a priority when travelling especially if you are doing it solouse a vpn when using public wifi including at the hotel to help keep your data safe says kalonjiand speaking of hotels kalonji also advises people to use antibacterial wipes to wipe down your phone and remote in your hotel those are things that frequently get touchedleave your main bank cards at homedont bring your main bank cards on holiday suggests kalonji if cards are stolen it reduces the risk of a large sum of money being taken out of your account i bring two cards from monzo and starling bank and transfer money into the accounts as and when they neededthese names have been changed to protect privacy",Lifestyle
2,"our top book of the week is inspired by real events from history1 the household by stacey halls is published in hardback by manilla press available april 11tha cast of women plucked from poverty and lives of crime are brought together under one roof in the household the latest offering from stacey halls the residents told to keep their past lives a secret are offered a second chance  but when the reality of life in the isolated cottage sets in not all are so sure its what they want after the success of previous novels the familiars the foundling and mrs england halls is again inspired by real historical events this time the author focuses her attentions on urania cottage  a scheme set up in 1846 by author charles dickens and millionaire angela burdettcoutts to offer refuge to fallen women the historical facts alone are interesting enough but the past is brought to life by halls as she expertly weaves together the individual stories of all the women involved
910
review by eleanor barlow2 the last murder at the end of the world by stuart turton is published in hardback by raven books available nowfans of stuart turtons highconcept fiction will be familiar with his unique carefully constructed mysteries and this rollercoaster of a scifidetective tale might be the best one yet on a peaceful greek island untouched by an apocalypsecausing fog three scientists and a huddle of villagers uphold whats left of humanity but a shocking murder triggers a nailbiting countdown to save this haven from obliteration emory is tasked with unmasking the killer battling to unlock motives in time to reveal the culprit turtons ability to build an alluring world of detailed ideas is astounding youll feel the warm breeze as youre swept along by the pacey plot to a showstopping conclusion setting this colourful crossgenre novel apart is the eccentric sympathetic cast of characters and some profound questions what are our responsibilities as humans and can we learn to deny the temptation to play god
910
review by amanda willard3 memory piece by lisa ko is published by dialogue books available nowmemory piece starts in the early 1980s with giselle chin  an asian american teenager who feels out of place in new jersey and wants more out of life thats a common thread throughout this moving book of three parts  first we spend time with giselle through her growing up and eventually becoming a performance artist then we visit her friend jackie in the nineties as a coder in an everchanging world finally comes the third friend ellen as an elderly woman in the mid21st century  still holding on to her cooperative living despite the dystopian disaster around her while the third part does feel like a bit of an extreme departure and could be a short story in its own right lisa ko has crafted a touching story of three womens lives exploring themes of belonging creativity tech and more like her previous book the leavers its sure to become a modern classic
810
review by prudence wade4 the chain the relationships that break us the women who rebuild us by chimene suleyman is published in hardback by wn available nowthe story of the chain is shocking made even worse in being a real story chimene suleymans memoir centres around a failed relationship with an ex which culminated with her getting an abortion and him brutally leaving her alone at the clinic as the story unfolds it turns out he was a pathological liar and manipulator and had treated scores more women in similarly horrific ways these women find each other through social media and as more details emerge of this unnamed mans behaviour the victims form a chain and find themselves bound together suleymans writing is personal and raw but once the initial bombshell settles theres not much direction to the book its a searing look at misogyny and the treatment of women but with a meandering and somewhat jumbled throughline it perhaps would have been better as an essay
710
review by prudence wade5 when i feel brave by britta teckentrup is published in hardback by prestel available nowwhen i feel brave is an inspiring read brilliantly illustrated with rhyming throughout to help young readers digest the words and the meaning behind them brave begins with a young girl experiencing feelings of fear and self doubt  she walks through a forest and meets a bear that initially seems scary most of us experience worry and distressing thoughts when were growing up but how does one deal with them in a healthy way brave acknowledges the real struggle some children may feel and gently urges them to face their darkest troubles when the child does this with courage things begin to look brighter and the clouds start to clear making the world seem a much kinder place to live in a beautiful read for any youngster that is fearful or anxious hopefully it will help every reader overcome their concerns head on
910
review by karen shieldbook charts for the week ending march 30thhardback fiction
1 the last murder at the end of the world by stuart turton
2 the wrong sister by claire douglas
3 carrie 50th anniversary edition by stephen king
4 medea by rosie hewlett
5 a fate inked in blood by danielle l jensen
6 until august by gabriel garcia marquez
7 dune by frank herbert
8 house of flame and shadow by sarah maas
9 sunbringer by hannah kaner
10 the list of suspicious things by jennie godfrey
compiled by waterstoneshardback nonfiction
1 easy wins by anna jones
2 the trading game by gary stevenson
3 a very private school by charles spencer
4 bored of lunch healthy slow cooker even easier by nathan anthony
5 blossomise by simon armitage
6 the diary of a ceo by steven barlett
7 crypt by alice roberts
8 the anxious generation by jonathan haidt
9 the eastern front by nick lloyd
10 the man not your average average girl by becky lynch
compiled by waterstonesaudiobooks fiction and nonfiction
1 the threebody problem by cixin liu and ken liu
2 ghost stories stephen frys definitive collection by stephen fry
3 prima facie by suzie miller
4 atomic habits by james clear
5 none of this is true by lisa jewell
6 the dark forest by cixin liu and joel martinsen
7 unruly by david mitchell
8 the list of suspicious things by jennie godfrey
9 the trading game by gary stevenson
10 the templars by dan jones
compiled by audible",Lifestyle
3,algorithm a dublinbased awardwinning xr production studio has been appointed to be the lead creative team in the development of a new immersive production on the life and legacy of a medieval german mystic hildegard of bingenthe animated film her minds eye will portray hildegard as a 12th century creative visionarythis immersive experience is set to vividly portray hildegard a nun celebrated for her diverse talents in art writing wellness and music compositionas a renowned medieval prophet and mystic of her time hildegard is known for her psychedelic visions which will be projected in full dome offering a captivating and sensorial journeythis innovative film not only brings to life hildegards multifaceted legacy but also provides a unique visually stunning portrayal of her visionary insights resonating through timethe production team brings together narrative scenes from hildegards life which will be told through newly composed classical workthe audience will be enveloped into hildegards visionary thoughts as she vividly describes passages of her life the entire performance will be presented using a new generation of 3d rendered graphics with a strong emphasis on performance and dancethis film will bring together the expertise of an irishus team which includes composer and lyricist cindy shapiro acclaimed awardwinning los angeles choreographer janet roston of incorrigible entertainment neil gaiman as story consultant and fiona maddocks the respected british music critic the immersive production will allow the audience come face to face with one of the most inspirational and revered female figures of her timealgorithm specialise in creating immersive experiences this full dome art piece offering a largescale virtual reality experience showcased within a panoramic dome spans art direction design animation technical production and final rendering this proficiency is underpinned by their extensive background in developing immersive content for virtual reality projection mapping and locationbased experiences lbesnick linders managing director of algorithm said our stateoftheart technology and creative expertise ensures we are perfectly poised to work with incorrigible entertainment to translate this ambitious vision into an immersive domeprojection experience using technology music and dance we bring to life hildegard of bingens story and thrill audiences with a real life heroalgorithms groundbreaking orbit immersive render technology will play a crucial role in this production this stateoftheart technology will elevate the visual experience offering a mesmerising journey of images that will transport the audience into the depths of her minds eyepresented in a thrilling full dome format this immersive 50minute production promises to captivate audiences furthermore plans are underway to expand its availability into other formats in the coming monthsthey will illustrate her enormous relevance to our time today they are currently unearthing research from the earliest medieval past to works and manuscripts that will shine a bright light on how this remarkable nun captured the imagination down the centuries and how her appeal has transcended generations continents and different traditionsto further propel the production of her minds eye significant funding support has been secured from prominent organisations in the irish animation and film industry animation ireland and screen ireland have committed to advance the production providing essential financial backing that underscores the projects cultural and artistic significance this support from such esteemed bodies not only facilitates the realisation of the project but also highlights its potential impact on the animation and film landscape,Lifestyle
4,its the start of world autism acceptance week and there are still many common myths people believe about children with autismautism is a lifelong disability that affects how people communicate and interact with the worldthis means children who have been diagnosed with this particular neurodiversity may process information about their surroundings differently than those who are neurotypicalaccording to the national autistic society at least one in 100 children and adults are autistic which means there are more than 700000 autistic people in the uk with more than 200000 autistic pupils in englandsuzy yardley ceo of child autism uk said autism is a spectrum which means that children can be affected to different degrees however the majority of autistic children have challenges in the areas of communication social interaction and imagination flexibility of thoughtit is important to note that many autistic people do not need specific support especially when within autismfriendly environmentsso what is the youngest age that autism can show up in children health experts share everything you need to knowit is often parents who notice differences in their childs development firstchildren can be diagnosed as autistic when theyre quite young in some cases from the age of two but not everyone is diagnosed early in life its quite common for a child to not get their diagnosis until they are older or even as an  adult said joey nettleton burrows policy and public affairs manager at the national autistic societythere are various signs that a child may be on the autism spectrumthese can include not drawing their parents or others attention to objects or events for example not pointing at a toy or a book or at something that is happening nearby or a child may eventually do this but later than expected carrying out activities in a repetitive way for example always playing the same game in the same way or repeatedly lining toys up in a particular order said nettleton burrowsresistance to change or doing things differently emerging difficulties with social interaction and social communicationyardley agreed and added every child is different and not all children showing the signs illustrated here will be autistic  it will depend on the frequency the severity and whether it is proving an obstacle to learning or quality of life  many people have autistic traitshowever common signs include echoing words or phrases without context taking language too literally often choosing to play alone having difficulty making friends not understanding others thoughts and emotions repetitive or restrictive behaviours and having trouble with coordinationother signs can also include seeking out specific visual or auditory experiences such as spinning wheels on a toy train looking at the bars of a fence and listening to the theme tunes of favourite programmesbeing restrictive around certain activities such as eating only yellow food watching the same programme over and over or only wearing a favourite jumperautistic people may or may not have exceptional attention to detail and sensory differences this is most noticeable when children are oversensitive to stimuli for example distress at loud noises trouble with coordination and additional learning disabilitiesfor yardley early intervention has been consistently shown to be vital in ensuring the right support is in place for the best outcomeshowever currently the average age for diagnosis is eight years old and the average wait for a diagnosis assessment is three years she saidthis varies across postcodes disadvantaged families on low incomes as they cannot access private assessments and those with lower education attainment or with english as a second language as the process for accessing help is highly complex and often combativeask your gp for links to local groups and ask your gp or school to start the process for accessing an education health and care plan ehcp which starts the assessment process through an autism team that sets out the legally binding provision your child should receive,Lifestyle
5,spring might only just have started to appear  but the seasons are shifting so lightweight outerwear is where its at right nowand when it comes to transitional jackets were all for hardworking pieces which marry function with flair have room for an extra layer underneath in case theres a sudden cold spell thanks to a relaxed fit and are versatile enough to know youre going to get lots of wear out of themheres whats trending for spring and can cope with our unpredictable weather patternsutility wear was a hot pick on the springsummer 2024 runways and the combination of beige neutral colours with warmer sandy tones makes this style la crème de la crème of casual coolriver island khaki utility jackethush laurie zip up utility jacketsure to be a big hit this spring and beyond its time to switch out your cardigan for the far trendier loosefit overshirtone to wear over a sweater tshirt or bandeau top yes theyre back bigtime shirt styles are shaping up to be the cover up this summerwhistles cady leather pocket overshirtreiss clayton denim overshirt in creamwe know its not a gamechanger in the style stakes but when those april showers call for something with a bit more coverage and a hood an effortless parka hits all the right notes with jeans and trainersnew look mid pink hooded rain anorakreiss rains belted raincoat in flint greythe cropped trench takes a little getting used to if youre used to longer styles but it looks ever so hip  and thats exactly where the length should hita hero piece in any wardrobe you can pack them for summer holidays too for a quick cover up if sudden showers threaten to dampen your styledamart coat in irish creamhush stella short trench jacket in stonebut dont worry  a fulllength trench coat is still the standout item for spring and its all about how you wear ittimeless and universally flattering its the fashion chameleon which keeps on giving and manages to combine effortless chic with a certain je ne sais quoithe golden rule wear it open keep the belt loosely tied at the back and this time round dress it down with denimsimply be neutral linen trench with jersey hoodanthology camel elevated trench coat,Lifestyle
6,set on a 07 acre site bounded by a natural woodland area near newmills on the outskirts of letterkenny this property boasts 409sqm of living space as well as a double detached garagethe key feature of this north west home is its stone twostorey turret which overlooks the gardens and surrounding countrysidedesigned with style in mind the home spans over three floors and boasts many features including high ceilings natural stone internal walls churchstyle windows and spacious rooms that flow effortlessly throughout with curved porcelain tiled steps leading from the grand foyerwith stone pillars and electronic gates on the entrance the property is approached by a tarmac driveway and manicured lawns with the added benefit of a beautifully positioned southfacing stone patio which receives plenty of sunshinethe ground floor accommodation comprises of an entrance foyer living room office dining room snug kitchen utility studyground floor bedroom and shower roomon the first floor there are four bedrooms all with access to shower rooms or the main bathroom while on the second floor there are two further rooms one of which incorporates a wc and wash hand basinlocated in a peaceful area less than 10 minutes drive from letterkenny this property enjoys a countryside setting and has been mica tested with results available on requestthe property is selling for 750000 and you can find out more info about the property here,Lifestyle
7,"joe wicks is obviously a big fan of exercise but if he doesnt get it done first thing in the morning even hell start making up excuseswhat i found about myself is that if i dont do it straight away when i wake up excuses come in ill have dinner or a bit of chocolate and i cant be bothered says wicks aka the body coach  who gained a whole new audience when he started streaming free pe with joe workouts for kids and families during lockdownso ive got to do it in the morning and that really sets me up for a much more positive daywhen his children  indie five marley four and leni 18 months wicks and his wife rosie are also expecting their fourth child this summer  allow him to get a good nights sleep the 38yearold tries to be up at 6am to complete a 30minute workout before getting into the kitchen to make breakfast for the familyhes a big fan of highintensity and bodyweight workouts like pullups pressups and squats but also really loves to go cycling and on long walks around richmond park near where he lives in southwest london and fitness aside wicks is also a fan of getting out on his motorbikewhen ive managed to carve out some time for myself i love riding my motorbike as a pastime i dont go for long rides but it helps me to be present because you have to be aware of the situation you are in and you cant be on your phone it sounds weird but thats very relaxing for me says the fitness guru and author whose books include lean in 15 and feel good foodi also love going in ice baths or having a cold shower even if its for 30 seconds it releases a bit of dopamine in my mind its great for the skin and also energises mewicks has now teamed up with aviva health insurance and fitness tracking app strava on their 30day movewithaviva campaign  encouraging the nation to put themselves first and partake in at least 10 minutes of activity a day throughout april to support their health and wellbeing this could be going for a run or doing a quick workout or even doing some gardening or a gentle mindfulness exercisea survey accompanying the campaign found 69 of people try to take care of their health by exercising but know theres more they could be doing when asked what was holding them back 33 per cent said they were too tired and 30 said being busy with other priorities was the issue around 41 per cent said they lack the motivation and 15 per cent admitted to being unsure where to beginembracing short bursts of activity is right up wicks street because as a parent he says he doesnt really want to be training for hours anymoremy three kids have just absorbed everything says wicks adding that he wants to be around for things like story time and bath time being active is part of their family life toothey saw me doing pe with joe every day during the lockdown and know that their parents also exercise together we do fun stuff in the garden play stuck in the mud hide and seek go for bike rides and ive even got some boxing pads and gloves we can use wicks saysits important to teach our children that exercise can be a wonderful and fun thing i can physically see how it calms them down i even get them involved in the kitchen when im cooking different recipes whats more important as a life skill than teaching your children how to cook you are setting them up for a healthy future
as ever he is keen to highlight that being active and taking care of your wellbeing doesnt need to be complicatedthe campaign is really about selfbelief and doing the small things that will have a big impact although it may not transform your life overnight one thing leads to another says wicksfitness should be accessible and doesnt need to be intense or feel like a punishment doing exercise for 10 minutes a day can be fun its a tool that can help you release stress and pressures on your body and boost your mood and energy its so powerfulyour fitness goals shouldnt be so focused on body image losing inches and the scales  that doesnt motivate you enough focus on trying to get fitter and building strength especially now that it is warmer and getting lighter in the eveningsride the wave wicks adds when summer arrives you will naturally have those endorphins and the idea of going for a jog or walk wont be unbearable ride that wavejoe wicks has teamed up with aviva health uk and strava to launch a new movewithaviva challenge  encouraging people can build healthy habits in just 10 minutes a day to find out more visit avivacoukmovewithaviva",Lifestyle
8,a dress worn by marilyn monroe has sold for eight times the estimated auction pricethe pink pucci longsleeved gown of silk jersey which has a rope and crystal tassel belt was bought for more than 325000 291000 at an event hosted by juliens auctions in los angeles california on thursday eveningit had been listed along with other items owned by the hollywood star and artefacts from the playboy archives and hugh m hefner foundation at 40000 37000 to 60000 55000 and sold for 325000the label says it was made for the us department store saks fifth avenue in new york by italian fashion designer emilio puccimonroe died aged 36 in 1962 after starring in films including gentlemen prefer blondes some like it hot and the seven year itch with her final performance in the misfitsa previous jean louisdesigned illusion gown worn by monroe when she sang happy birthday to the thenpresident john f kennedy was sold by juliens auctions for more than 48 million in 2016the thursday auction saw a burgundy smoking jacket with black silk pyjamas and slippers owned by playboy founder hugh hefner sell for more than 15 times the estimatethe set went for 35750 following an original auctioneer value being placed at between 2000 to 3000hefner was known for wearing his black satin pyjamas and a red smoking jacket at all times of the day in his beverly hills playboy mansion and for his admiration of monroethe first edition of playboy featured a centrefold image of marilyn monroe which was originally shot by her for a 1949 nude calendarthis 1953 magazine was sold at 6500 more than the estimate of 2000 to 4000hefner died in 2017 aged 91other items sold included leroy neimans romanoffs oil painting which appeared in a june 1959 issue of playboy magazine at 76200 and the artists femlin character images one of which sold for 6500a black satin onepiece bunny costume designed by italian fashion designer roberto cavalli and worn at palms casino by michelle garlick had an estimate of 1000 to 2000 it was auctioned for 4445the auction for property from the playboy archives and hugh m hefner foundation and property from the life and career of marilyn monroe continues over the weekendall sale prices included the buyers premium,Lifestyle
9,"at the tender age of two rachel rileys youngest daughter is too young to share her maths whizz mums love of numbersbut its a different story when it comes to books and the excited youngster happily chatters about one of her favourite books the tiger who came to tea babbling big mouthful yuuumwhen her laughing mum asks what the tiger does when he eats all his sandwichesits just as well the toddler is so enthusiastic about books as her countdown presenter mum is the new ambassador for oscars book club and the childrens picture book award oscars book prize which aims to champion earlyyears readingwhen theyre really little aged before five its the key stage for setting good habits explains riley 38 reading and a love of books is beneficial and will obviously help them with their reading confidence getting them a head start before they go to proper school
breaking off to warn i can hear my twoyearold coming up she adds as a parent reading with your children does bring you a lot of joy i really enjoy it its one of the highlights of the day when we get into bed and cuddle up together and read books and my little one noa just cuddles in and tells me exactly what she wants to readriley who has daughters noa and maven aged four with husband pasha kovalev who she met on strictly come dancing in 2013 is on the judging panel for this years oscars book prize which is seeking the best new illustrated book for young children the prize was founded by the parents of oscar ashton who loved storytelling but died from a heart condition at the age of threeandahalf in 2012i dont think you can spoil a kid with enough books says riley i remember when i was younger the school used to give out book tokens if you did well and going to the bookshop and choosing one for yourself its really important to get kids at a young age engaged and interested in reading and theres some lovely books out therereading with children is such a nice thing  its just family time and it calms themriley and kovalev read to their girls every night and she explains theyre not too far apart in age so they do enjoy some of the same books and if were both at home we can do them separately and they can get their own books and otherwise in one bed and reading the books together before we go to sleep it just calms them and noa repeats a lot of the words  they can almost recite them off by heart its really sweetsuch family time is a precious thing for riley who juggles bringing up her two daughters with travelling from her home in london to film countdown in manchester riley explains that five shows a day are filmed over three days every couple of weeks so i just go up to manchester for a few days and then come back down for a week or two weeks and go up and down she saysthe children dont go to manchester with her although they have done in the past she explains they used to because i was breastfeeding for the best part of four years  until noa was nearly two so all that time they were coming up and i could feed after work or during shows and all that kind of juggle but noas twoandahalf now so thankfully those days are just a memory and i can get a bit more independence backits definitely a juggle pasha and i are lucky that because were both freelance we can try to share and if we have a job or a call or something we can try to do it when the kids are at preschool or when the other ones aroundshe says family organisation changes all the time and because noa started preschool in january the couple have found themselves with a small window of free time during the day its the first time in four years where we have a couple of hours to ourselves in the day which is novel she reflectsthe time just whizzes past though its like any parents  everythings a juggle and sometimes you cant get everything done so ive got a million emails stacked up and the house is a mess most of the time  but the kids are happy you cant do everything and youve just got to prioritisesomething that can help a little with the juggle sometimes she says are the four ukrainian refugees the couple have staying in their home while war rages in their country the couple have been welcoming the refugees for nearly two yearsits like having an extended family in the house says riley theres always three women and a little boy so theres always extra hands with the kids and my little girls think theyve got a big brother  its actually pretty niceshe says having the family staying with them has been rewarding and is particularly poignant for her because the jewish side of her family came to england more than a century ago to flee violence in europeso we wanted to be able to help people we had the space and we can look back and say that we did something  we didnt like what we saw and we tried to help
their guests speak ukrainian and russian and as kovalev is russian maven and noa are learning russian as well as english the girls get a bit of russian speaking so its all been mutually beneficial explains riley i think they say when you volunteer you get more out of it yourself  and weve been lucky with such a lovely familyobviously we all hope that they can go home and get safety because thats what they want to do theyve said we have to go and stay with them when everythings fine so the girls are really excited to go to ukraine at some stage  everyone hopes thatll be sooner rather than laterrachel riley is an ambassador for oscars book club and the childrens picture book award oscars book prize which aims to encourage reading with young children amazon is donating oscars book prize shortlisted books to schools and nurseries in areas where children have less engagement with books",Lifestyle
